titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_season,3,en,US,English,Stranger Things 3,Budding romance. A brand-new mall. And rabid rats running toward danger. It's the summer of 1985 in Hawkins ... and one summer can change everything.
Stranger Things,66732,tv_season,3,sv,SE,Swedish,,"Spirande romantik, ett nybyggt köpcenter och råttor som dras till fara. Året är 1985, det är sommar i Hawkins ... och en sommar kan förändra allt."
Stranger Things,66732,tv_season,3,bs,BS,Bosnian,,
Stranger Things,66732,tv_season,3,de,DE,German,Stranger Things 3,"Aufblühende Romanzen. Eine brandneue Mall. Tollwütige Ratten, die vor der Gefahr fliehen. Es ist 1985 … und ein Sommer in Hawkins, der alles verändern kann."
Stranger Things,66732,tv_season,3,fr,FR,French,Stranger Things 3,L'amour qui éclot. Un centre commercial flambant neuf qui ouvre. Et des rats enragés qui se ruent vers le danger... L'été 1985 à Hawkins s'annonce chaud !
Stranger Things,66732,tv_season,3,es,ES,Spanish,Stranger Things 3,Un romance en ciernes. Un nuevo centro comercial. Ratas rabiosas que corren hacia el peligro. Es el verano de 1985 en Hawkins. Y un verano puede cambiarlo todo.
Stranger Things,66732,tv_season,3,zh,CN,Mandarin,怪奇物语 第 3 季,刚刚萌芽的恋情、一家全新的购物中心和一群奔向危险的发狂老鼠。这些都发生在 1985 年夏天的霍金斯镇，一个夏天足以改变一切。
Stranger Things,66732,tv_season,3,pt,BR,Portuguese,,Romance no ar. Um shopping novinho em folha. Ratazanas enlouquecidas correndo para o perigo. É o verão de 1985 em Hawkins. E um verão pode mudar tudo.
Stranger Things,66732,tv_season,3,ru,RU,Russian,Очень странные дела 3,"Зарождающийся роман. Новый торговый центр. Нашествие бешеных крыс. На дворе 1985 год, в Хоукинсе лето... способное изменить все навсегда."
Stranger Things,66732,tv_season,3,pl,PL,Polish,,Kiełkujące uczucia. Pachnące nowością centrum handlowe. I wściekłe szczury biegnące ku zatraceniu. W Hawkins trwa lato 1985 roku... A jedno lato może zmienić wszystko.
Stranger Things,66732,tv_season,3,cs,CZ,Czech,,"Nová láska. Nové obchodní centrum. A vzteklé krysy, které běží za nebezpečím. Prostě léto roku 1985 ve městě Hawkins. I jediné léto ale může změnit úplně všechno."
Stranger Things,66732,tv_season,3,it,IT,Italian,,"Nuovi amori, un moderno centro commerciale e ratti con la rabbia che corrono verso il pericolo. Hawkins, 1985: è arrivata l'estate. E in una stagione tutto può cambiare."
Stranger Things,66732,tv_season,3,da,DK,Danish,Stranger Things 3,"Spirende romantik, et helt nyt storcenter, og vilde rotter i fare. Det er sommeren 1985 i Hawkins – og én sommer kan ændre alt."
Stranger Things,66732,tv_season,3,hu,HU,Hungarian,Stranger Things 3,"Bimbózó románc. Vadonatúj bevásárlóközpont. És a veszett patkányok a vesztükbe rohannak. 1985 nyarán, Hawkinsban járunk... és egy nyár alatt minden megváltozhat."
Stranger Things,66732,tv_season,3,uk,UA,Ukrainian,Дивні дива 3,"Зародження кохання. Новісінький торговий центр. Скажені щури віщують небезпеку. Це літо 1985-го в Гокінсі… літо, що може змінити все."
Stranger Things,66732,tv_season,3,id,ID,Indonesian,Stranger Things 3,Benih-benih asmara. Mal baru. Tikus-tikus gila berlari menuju bahaya. Inilah musim panas tahun 1985 di Hawkins... dan satu musim panas dapat mengubah segalanya.
Stranger Things,66732,tv_season,3,el,GR,Greek,Stranger Things 3,"Ένας νέος έρωτας, ένα ολοκαίνουργιο εμπορικό και λυσσασμένοι αρουραίοι υπό απειλή. Είναι καλοκαίρι του 1985 στο Χόκινς. Κι ένα καλοκαίρι μπορεί να αλλάξει τα πάντα."
Stranger Things,66732,tv_season,3,he,IL,Hebrew,דברים מוזרים 3,רומן מלבלב. קניון חדש. ועכברושים מוכי כלבת שרצים לעבר הסכנה. זה הקיץ של שנת 1985 בהוקינס... וקיץ אחד יכול לשנות הכול.
Stranger Things,66732,tv_season,3,zh,TW,Mandarin,第3季,萌芽的浪漫。一個全新的購物中心。還有瘋狂的老鼠奔向危險。這是 1985 年的夏天，霍金斯…一個夏天可以改變一切。
Stranger Things,66732,tv_season,3,lt,LT,Lithuanian,,
Stranger Things,66732,tv_season,3,sk,SK,Slovak,,"Deti z Hawkinsu sa chystajú užiť si prvé leto od udalostí, kvôli ktorým boli konečne vyhostení vedci z miestneho laboratória a vyriešili sa všetky záhady, ktoré mestečko zasiahli. Lucas (Caleb McLaughlin) a Mike (Finn Wolfhard) si užívajú svoje prvé lásky, ale Will (Noah Schnapp) zostáva sám a po väčšinu času sa pri ostatných deťoch nudí. Dustin (Gaten Matarazzo) sa vracia z tábora, kde taktiež stretol svoju prvú detskú lásku, ale jej úžasný popis sa ostatným členom partie nepozdáva. Z Eleven (Millie Bobby Brown) a Max (Sadie Sink) sa stali kamarátky, a preto to vyzerá, že deti z Hawkinsu budú mať idylické leto bez prítomnosti monštier z inej dimenzie. To ale ešte netušia, aké dobrodružstvá na nich čakajú, a že v ich meste bude opäť o zábavu postarané."
Stranger Things,66732,tv_season,3,tr,TR,Turkish,Stranger Things 3,Tomurcuklanan bir aşk. Yepyeni bir alışveriş merkezi. Tehlikeye doğru koşan kuduz sıçanlar. Hawkins'de 1985 yazı. Bir yaz her şeyi değiştirebilir.
Stranger Things,66732,tv_season,3,sr,RS,Serbian,,
Stranger Things,66732,tv_season,3,es,MX,Spanish,Stranger Things 3,"Romances en ciernes. Un nuevo centro comercial. Ratas que corren rabiosas hacia el peligro. Es el verano de 1985 en Hawkins..., y un verano puede cambiarlo todo."
Stranger Things,66732,tv_season,3,nl,NL,Dutch,Stranger Things 3,"Ontluikende liefde, een gloednieuw winkelcentrum en ratten met rabiës rennend richting gevaar. Het is zomer van 1985 in Hawkins ... en één zomer kan alles veranderen."
