titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_episode,1,9,en,US,English,The We We Are,The team discovers troubling revelations.
Severance,95396,tv_episode,1,9,pt,BR,Portuguese,O nós que nós somos,A equipe descobre coisas perturbadoras.
Severance,95396,tv_episode,1,9,ru,RU,Russian,Настоящие мы,Команда раскрывает шокирующие факты.
Severance,95396,tv_episode,1,9,hu,HU,Hungarian,"A mi, ami vagyunk",A csapat nyugtalanító felfedezéseket tesz.
Severance,95396,tv_episode,1,9,it,IT,Italian,Il nostro vero io,Il team scopre scomode verità.
Severance,95396,tv_episode,1,9,es,ES,Spanish,Quienes somos,El equipo descubre alarmantes revelaciones.
Severance,95396,tv_episode,1,9,ja,JP,Japanese,私達らしくあれ,シーズン１マークたちは予想外の事実を知り困惑する。
Severance,95396,tv_episode,1,9,ko,KR,Korean,우리다운 우리,MDR 팀은 곤혹스러운 사실을 알게 된다.
Severance,95396,tv_episode,1,9,de,DE,German,"Das Wir, das wir sind",Das Team macht beunruhigende Entdeckungen.
Severance,95396,tv_episode,1,9,el,GR,Greek,Το δικό μας Εμείς,Η ομάδα ανακαλύπτει ανησυχητικές αποκαλύψεις.
Severance,95396,tv_episode,1,9,he,IL,Hebrew,האנחנו שאנחנו,הצוות מגלה גילויים מטרידים.
Severance,95396,tv_episode,1,9,fr,FR,French,Le nous en nous,L'équipe apprend des faits troublants.
Severance,95396,tv_episode,1,9,zh,CN,Mandarin,我们的身份,团队发现了令人不安的真相。
Severance,95396,tv_episode,1,9,sv,SE,Swedish,The We We Are,Teamet gör oroande upptäckter.
Severance,95396,tv_episode,1,9,es,MX,Spanish,"Los ""nosotros"" que somos",El equipo descubre unas problemáticas revelaciones.
Severance,95396,tv_episode,1,9,pl,PL,Polish,Nasze ja,Zespół odkrywa niepokojące informacje.
Severance,95396,tv_episode,1,9,zh,TW,Mandarin,現在的我們,團隊發現了令人心驚的真相。
Severance,95396,tv_episode,1,9,cs,CZ,Czech,Naše pravé já,Poslední díl. Tým objeví znepokojivá fakta.
Severance,95396,tv_episode,1,9,tr,TR,Turkish,Biz Olan Biz,Ekip rahatsız edici keşifler yapar.
Severance,95396,tv_episode,1,9,nl,NL,Dutch,De wij die we zijn,Het team ontdekt verontrustende onthullingen.
Severance,95396,tv_episode,1,9,th,TH,Thai,ตัวตนที่เราเป็น,ทีมค้นพบเรื่องไม่คาดฝันชวนหวั่นใจ
Severance,95396,tv_episode,1,9,ar,SA,Arabic,نحن كما نكون,"""الفريق يكتشف حقائق مقلقة."
Severance,95396,tv_episode,1,9,fa,IR,Persian,مایی که ما هستیم,
Severance,95396,tv_episode,1,9,uk,UA,Ukrainian,Справжні ми,Команда робить тривожні відкриття.
Severance,95396,tv_episode,1,9,lt,LT,Lithuanian,,
Severance,95396,tv_episode,1,9,zh,HK,Mandarin,我們的真正身份,馬克、凱莉和艾榮發現令人不安的真相。
Severance,95396,tv_episode,1,9,da,DK,Danish,The We We Are,"Mark, Helly og Irving opdager foruroligende ting."
Severance,95396,tv_episode,1,9,zh,SG,Mandarin,我们的身份,团队发现了令人不安的真相。
Severance,95396,tv_episode,1,9,vi,VN,Vietnamese,Người Như Chúng Ta,Cả nhóm phát hiện ra những điều đáng lo ngại.
Severance,95396,tv_episode,1,9,sr,RS,Serbian,,
Severance,95396,tv_episode,1,9,fi,FI,Finnish,The We We Are,Tiimi saa selville huolestuttavia asioita.
Severance,95396,tv_episode,1,9,bg,BG,Bulgarian,,
Severance,95396,tv_episode,1,9,sl,SI,Slovenian,,
Severance,95396,tv_episode,1,9,ar,AE,Arabic,نحن كما نكون,"""الفريق يكتشف حقائق مقلقة."
Severance,95396,tv_episode,1,9,fr,CA,French,Le nous en nous,L'équipe apprend des faits troublants.
Severance,95396,tv_episode,1,9,hi,IN,Hindi,जो हम हम हैं,टीम को कुछ परेशान करने वाली चीज़ें पता चलती हैं।
Severance,95396,tv_episode,1,9,id,ID,Indonesian,Diri Kita yang Sebenarnya,Musim terakhir. Tim menemukan fakta mengejutkan yang mengganggu.
Severance,95396,tv_episode,1,9,no,NO,Norwegian,The We We Are,"Mark, Helly og Irving oppdager urovekkende avsløringer."
Severance,95396,tv_episode,1,9,pt,PT,Portuguese,"Os ""nós"" que somos",A equipa descobre revelações perturbadoras.
Severance,95396,tv_episode,1,9,sk,SK,Slovak,"My, ktorými sme",Posledná epizóda série. Tím odhalí nepríjemné podrobnosti.
Severance,95396,tv_episode,1,9,et,EE,Estonian,,
Severance,95396,tv_episode,1,9,ro,RO,Romanian,Adevăratul noi,Echipa face descoperiri tulburătoare.
Severance,95396,tv_episode,1,9,hr,HR,Croatian,,
Severance,95396,tv_episode,1,9,ka,GE,Georgian,,
