titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_episode,1,5,en,US,English,The Grim Barbarity of Optics and Design,Irving and Dylan confront Burt about his lies. Mark and Helly discover a strange new department.
Severance,95396,tv_episode,1,5,pt,BR,Portuguese,A cruel barbárie da Óptica e Design,Irving e Dylan confrontam Burt. A equipe se aventura pelos corredores.
Severance,95396,tv_episode,1,5,ru,RU,Russian,Беспощадная жестокость отдела оптики и дизайна,Ирвинг и Дилан требуют от Бёрта объяснений. Команда отправляется в экспедицию по этажу.
Severance,95396,tv_episode,1,5,hu,HU,Hungarian,Az Optika és Dizájn vad barbársága,Irving és Dylan kérdőre vonják Burtöt. A csapat kimerészkedik a folyosókra.
Severance,95396,tv_episode,1,5,it,IT,Italian,La spietata efferatezza di Optics and Design,Irving e Dylan affrontano Burt sulle bugie che ha raccontato. Mark e Helly scoprono uno strano nuovo dipartimento.
Severance,95396,tv_episode,1,5,es,ES,Spanish,La cruel barbaridad de Óptica y Diseño,Irving y Dylan se enfrentan a Burt. El equipo se aventura a adentrarse en los pasillos.
Severance,95396,tv_episode,1,5,ja,JP,Japanese,視覚デザイン部の蛮行,アーヴィングとディランはバートを問い詰める。一方マークたちは部署の外に出て社内を探索していた。
Severance,95396,tv_episode,1,5,ko,KR,Korean,광학 및 디자인의 잔인한 야만성,어빙과 딜런은 버트에 맞선다. 팀은 위험을 무릅쓰고 복도로 나간다.
Severance,95396,tv_episode,1,5,de,DE,German,Die abstoßende Unmenschlichkeit von Optik und Design,Irving und Dylan stellen Burt zur Rede. Das Team begibt sich in die Gänge.
Severance,95396,tv_episode,1,5,el,GR,Greek,Η απαίσια κτηνωδία του τμήματος Οπτικής και Σχεδιασμού,Ο Έρβινγκ κι ο Ντίλαν έρχονται αντιμέτωποι με τον Μπερτ. Η ομάδα εξερευνά τους διαδρόμους.
