titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_episode,1,4,en,US,English,The You You Are,Irving finds an intriguing book at work. Helly aggressively pursues a meeting with her Outie. Mark attends a funeral with Ms. Selvig.
Severance,95396,tv_episode,1,4,pt,BR,Portuguese,O você que você é,Irving faz uma descoberta intrigante no trabalho. Helly tenta de todas as formas se encontrar com sua Externa. Mark lida com a perda de sua esposa.
Severance,95396,tv_episode,1,4,ru,RU,Russian,Настоящий ты,Ирвинг обнаруживает на работе кое-что любопытное. Хелли пытается достучаться до своей экстры. Марк пытается пережить утрату жены.
Severance,95396,tv_episode,1,4,hu,HU,Hungarian,"A te, ami vagy",Irving érdekes felfedezést tesz a munkahelyén. Helly agresszíven próbál találkozni a kintijével. Mark a felesége elvesztésével küszködik.
Severance,95396,tv_episode,1,4,it,IT,Italian,Il tuo vero io,"Irving fa un'interessante scoperta a lavoro. Helly, in modo violento, cerca di entrare in contatto con la sua esterna. Mark affronta il dolore della perdita di sua moglie."
Severance,95396,tv_episode,1,4,es,ES,Spanish,Aquel que eres,Irving hace un enigmático descubrimiento en el trabajo. Helly busca agresivamente una reunión con su Fueri. Mark se enfrenta a la pérdida de su esposa.
Severance,95396,tv_episode,1,4,ja,JP,Japanese,君らしくあれ,アーヴィングは職場で興味深いものを発見。ヘリーは自分のアウティとの接触を強引に要求する。マークは妻を亡くしたことを振り返り悲しみに暮れる。
Severance,95396,tv_episode,1,4,ko,KR,Korean,당신다운 당신,어빙은 직장에서 흥미로운 책을 발견한다. 헬리는 공격적으로 아우티와 소통하려 한다. 마크는 아내를 잃고 힘들어한다.
Severance,95396,tv_episode,1,4,de,DE,German,"Das Du, das du bist",Irving macht bei der Arbeit eine faszinierende Entdeckung. Helly will unbedingt ihr Outie treffen. Mark setzt sich mit dem Verlust seiner Frau auseinander.
Severance,95396,tv_episode,1,4,el,GR,Greek,Το δικό σου Εσύ,Ο Έρβινγκ ανακαλύπτει κάτι συναρπαστικό στη δουλειά. Η Χέλι επιδιώκει με επιθετικό τρόπο μια συνάντηση με την Απέξω της. Ο Μαρκ πασχίζει να διαχειριστεί τον χαμό της συζύγου του.
Severance,95396,tv_episode,1,4,he,IL,Hebrew,האתה שאתה,"אירווינג מגלה תגלית מסקרנת בעבודה. הלי מנסה נחושה לפגוש את ה""חיצונית"" שלה. מארק מתמודד עם מות אשתו."
Severance,95396,tv_episode,1,4,fr,FR,French,Le vous en vous,Irving fait une découverte mystérieuse au travail. Helly s'acharne à obtenir un rendez-vous avec son exter. Mark a du mal à faire le deuil de sa femme.
Severance,95396,tv_episode,1,4,zh,CN,Mandarin,你的身份,欧文工作时发现了一本有趣的书。赫莉积极地想与外面的自己会面。马克苦苦挣扎在失去妻子的痛苦中。
Severance,95396,tv_episode,1,4,sv,SE,Swedish,The You You Are,Irving upptäcker något intressant på jobbet. Helly jagar aggressivt ett möte med den hon är utanför. Mark försöker hantera förlusten av sin fru.
Severance,95396,tv_episode,1,4,es,MX,Spanish,"El ""tú"" que eres",Irving hace un descubrimiento intrigante en el trabajo. Helly agresivamente busca una reunión con su exus. Mark lidia con la pérdida de su esposa.
Severance,95396,tv_episode,1,4,pl,PL,Polish,Twoje ja,Irving dokonuje w pracy intrygującego odkrycia. Helly natarczywie dąży do spotkania ze swoją alterką. Mark zmaga się ze stratą żony.
Severance,95396,tv_episode,1,4,zh,TW,Mandarin,現在的你,爾文在公司找到一項神秘物品。海莉強烈地想與公司外的自己碰面。馬克努力對抗妻子過世的失落感。
Severance,95396,tv_episode,1,4,cs,CZ,Czech,Vaše pravé já,Irving v práci narazí na zajímavý objev. Helly se dál všemožně snaží setkat se svou venkařkou. Mark se potýká se ztrátou své ženy.
Severance,95396,tv_episode,1,4,tr,TR,Turkish,Siz Olan Siz,"Irving iş yerinde ilginç bir keşifte bulunur. Helly, Dışsal'ıyla görüşmek için çaba sarf eder. Mark, eşini kaybetmekle cedelleşir."
Severance,95396,tv_episode,1,4,nl,NL,Dutch,De jij die je bent,Irving doet een intrigerende ontdekking op het werk. Helly probeert op agressieve wijze haar outie te ontmoeten. Mark heeft het moeilijk met het verlies van zijn vrouw.
Severance,95396,tv_episode,1,4,th,TH,Thai,ตัวตนที่คุณเป็น,เออร์วิงพบสิ่งที่น่าสนใจมากที่ทำงาน เฮลลี่ยืนยันมุ่งมั่นที่จะขอพบโลกภายนอกของเธอให้ได้ มาร์ครับมือกับการสูญเสียของภรรยา
Severance,95396,tv_episode,1,4,ar,SA,Arabic,أنت كما تكون,"""إرفينغ"" يعثر على كتاب مثير في العمل. و""هيلي"" تضغط بقوة للقاء ذاتها الخارجية. و""مارك"" يعاني مع وفاة زوجته."
Severance,95396,tv_episode,1,4,fa,IR,Persian,تویی که تو هستی,
Severance,95396,tv_episode,1,4,uk,UA,Ukrainian,Справжній ти,Ірвінґ робить інтригуюче відкриття на роботі. Геллі не полишає агресивних спроб зустрітися зі своєю «зовницею». Марк з місіс Селвіґ відвідують похорон.
Severance,95396,tv_episode,1,4,lt,LT,Lithuanian,,
Severance,95396,tv_episode,1,4,zh,HK,Mandarin,你的真正身份,艾榮在公司有神秘發現。凱莉竭力想跟外面的自己會面。馬克努力面對喪妻之痛。
Severance,95396,tv_episode,1,4,da,DK,Danish,The You You Are,Irving gør en interessant opdagelse på arbejdet. Helly opsøger ihærdigt et møde med sin uder. Mark sørger over tabet af sin kone.
Severance,95396,tv_episode,1,4,zh,SG,Mandarin,你的身份,欧文工作时发现了一本有趣的书。赫莉积极地想与外面的自己会面。马克苦苦挣扎在失去妻子的痛苦中。
Severance,95396,tv_episode,1,4,vi,VN,Vietnamese,Người Như Anh,Irving tìm thấy một cuốn sách thú vị ở cơ quan. Helly sôi sục tìm cách gặp Phiên Bản Ngoài Đời của mình. Mark đau khổ vì mất vợ.
Severance,95396,tv_episode,1,4,sr,RS,Serbian,,
Severance,95396,tv_episode,1,4,fi,FI,Finnish,The You You Are,Irving tekee jännittävän löydyn töissä. Helly yrittää kovasti tavata ulkonsa. Mark kamppailee vaimonsa menetyksen kanssa.
Severance,95396,tv_episode,1,4,bg,BG,Bulgarian,,
Severance,95396,tv_episode,1,4,sl,SI,Slovenian,,
Severance,95396,tv_episode,1,4,ar,AE,Arabic,أنت كما تكون,"""إرفينغ"" يعثر على كتاب مثير في العمل. و""هيلي"" تضغط بقوة للقاء ذاتها الخارجية. و""مارك"" يعاني مع وفاة زوجته."
Severance,95396,tv_episode,1,4,fr,CA,French,Le vous en vous,Irving fait une découverte mystérieuse au travail. Helly s'acharne à obtenir un rendez-vous avec son exter. Mark a du mal à faire le deuil de sa femme.
