titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_season,5,en,US,English,Stranger Things 5,"The fall of 1987. Hawkins is scarred by the opening of the Rifts, and our heroes are united by a single goal: find and kill Vecna. But he has vanished — his whereabouts and plans unknown. Complicating their mission, the government has placed the town under military quarantine and intensified its hunt for Eleven, forcing her back into hiding. As the anniversary of Will's disappearance approaches, so does a heavy, familiar dread. The final battle is looming — and with it, a darkness more powerful and more deadly than anything they've faced before. To end this nightmare, they'll need everyone — the full party — standing together, one last time."
Stranger Things,66732,tv_season,5,sv,SE,Swedish,,
Stranger Things,66732,tv_season,5,bs,BS,Bosnian,,
Stranger Things,66732,tv_season,5,fr,FR,French,,"Hawkins est marquée par l'ouverture des Failles, et nos héros sont unis par un seul objectif : retrouver et tuer Vecna. Mais il a disparu – on ignore où il se trouve et ses plans."
Stranger Things,66732,tv_season,5,pl,PL,Polish,,
Stranger Things,66732,tv_season,5,it,IT,Italian,,
Stranger Things,66732,tv_season,5,pt,BR,Portuguese,,"Hawkins está marcado pela abertura das Fendas, e nossos heróis estão unidos por um único objetivo: encontrar e matar Vecna. Mas ele desapareceu — seu paradeiro e planos são desconhecidos. Para complicar a missão, o governo colocou a cidade em quarentena militar e intensificou a busca por Onze, forçando-a a se esconder novamente. À medida que o aniversário do desaparecimento de Will se aproxima, um medo pesado e familiar também se aproxima. A batalha final se aproxima — e com ela, uma escuridão mais poderosa e mortal do que qualquer coisa que já enfrentaram. Para acabar com esse pesadelo, eles precisarão de todos — o grupo inteiro — unidos, uma última vez."
Stranger Things,66732,tv_season,5,de,DE,German,,In ihrem letzten Abenteuer stellt sich die Clique aus Hawkins dem ultimativen Kampf gegen Vecna.
Stranger Things,66732,tv_season,5,ru,RU,Russian,Очень странные дела 5,"Осень 1987 года. Хокинс потрясён открытием Разломов, и наши герои объединены одной целью: найти и убить Векну. Но он исчез — его местонахождение и планы неизвестны. Чтобы усложнить их миссию, правительство ввело в городе военный карантин и усилило охоту на Одиннадцать, вынудив её снова скрываться. С приближением годовщины исчезновения Уилла нарастает тяжёлый, знакомый страх. Надвигается последняя битва, а вместе с ней и тьма, более могущественная и смертоносная, чем всё, с чем они сталкивались прежде. Чтобы положить конец этому кошмару, им нужно, чтобы все — вся группа — объединились в последний раз."
Stranger Things,66732,tv_season,5,es,ES,Spanish,,
Stranger Things,66732,tv_season,5,cs,CZ,Czech,,
Stranger Things,66732,tv_season,5,zh,CN,Mandarin,怪奇物语 第 5 季,1987年秋天，裂缝开启让霍金斯小镇伤痕累累，而我们的英雄们团结起来，只为一个目标：找到维克纳并杀掉他。但维克纳彻底消失，他的行踪和计划皆成谜。更麻烦的是，政府将整个小镇列为军事隔离区，更加强搜捕伊莱雯，迫使她必须再度藏身。威尔失踪将届周年之际，再熟悉不过的恐惧感排山倒海袭来。最终战役将至，这次他们要面对的黑暗力量，比以往更强大而致命。为了彻底终结这场恶梦，必须凝聚所有人的力量，最后一搏。
Stranger Things,66732,tv_season,5,hu,HU,Hungarian,,
Stranger Things,66732,tv_season,5,da,DK,Danish,,
Stranger Things,66732,tv_season,5,uk,UA,Ukrainian,Дивні дива 5,
Stranger Things,66732,tv_season,5,id,ID,Indonesian,,
Stranger Things,66732,tv_season,5,el,GR,Greek,Stranger Things 5,
Stranger Things,66732,tv_season,5,he,IL,Hebrew,דברים מוזרים 5,"סתיו 1987. הוקינס מצולקת מהסדקים שנפערו בה, והגיבורים שלנו מתאחדים למען מטרה אחת: למצוא ולהרוג את וקנה שנעלם בלי להשאיר זכר, ואיש אינו יודע איפה הוא ומה כוונותיו. ואם זה לא מספיק, הממשלה הטילה סגר צבאי על העיירה והגבירה את החיפושים אחרי אילבן, שהייתה מוכרחה להסתתר. יום השנה להיעלמותו של ויל מתקרב, ואיתו פחד מוכר וכבד. הקרב האחרון מרחף מעל ראשיהם ואיתו אפלה עיקשת וקטלנית יותר מכל דבר שנתקלו בו עד כה. כדי לסיים את הסיוט הזה, כולם – ממש כולם – צריכים לעמוד יחד בפעם האחרונה."
Stranger Things,66732,tv_season,5,lt,LT,Lithuanian,,
Stranger Things,66732,tv_season,5,zh,TW,Mandarin,,
