titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_episode,3,6,en,US,English,Chapter Six: E Pluribus Unum,"Dr. Alexei reveals what the Russians have been building, and Eleven sees where Billy has been. Dustin and Erica stage a daring rescue."
Stranger Things,66732,tv_episode,3,6,sv,SE,Swedish,Av många – en,Dr Alexei avslöjar vad ryssarna ägnat sig åt och Eleven ser var Billy har varit. Dustin och Erica iscensätter ett våghalsigt räddningsförsök.
Stranger Things,66732,tv_episode,3,6,bs,BS,Bosnian,,
Stranger Things,66732,tv_episode,3,6,de,DE,German,Kapitel sechs: E Pluribus Unum,Dr. Alexei enthüllt das Projekt der Russen. Elfi kommt Billy auf die Spur. Dustin und Erica stellen eine gewagte Rettungsmission auf die Beine.
Stranger Things,66732,tv_episode,3,6,fr,FR,French,Chapitre six : E Pluribus Unum,Le docteur Alexei révèle ce que les Russes sont en train de construire. Mike enrage. Onze fait une découverte cruciale. Dustin et Erica organisent un sauvetage audacieux.
Stranger Things,66732,tv_episode,3,6,es,ES,Spanish,E pluribus unum,El doctor Alexei revela lo que construyen los rusos y Once descubre dónde ha estado Billy. Dustin y Erica montan una operación de rescate muy audaz.
Stranger Things,66732,tv_episode,3,6,zh,CN,Mandarin,合众为一,阿列克谢博士揭示了俄国人在造什么。十一看到了比利到过的地方。达斯汀和艾瑞卡策划了一场大胆的营救行动。
Stranger Things,66732,tv_episode,3,6,pt,BR,Portuguese,Capítulo seis: E pluribus unum,"Dr. Alexey revela o que os russos estão construindo, e Onze vê onde Billy esteve. Dustin e Erica planejam um resgate ousado."
Stranger Things,66732,tv_episode,3,6,ru,RU,Russian,Шестая глава. E Pluribus Unum,"Доктор Алексей рассказывает, что задумали русские, и Одиннадцать узнает, где был Билли. Дастин и Эрика смело организовывают операцию по спасению."
Stranger Things,66732,tv_episode,3,6,pl,PL,Polish,Rozdział szósty: E pluribus unum,"Doktor Aleksiej ujawnia, co budują Rosjanie, a Jedenastka widzi, gdzie był Billy. Dustin i Erica podejmują się brawurowej misji ratunkowej."
Stranger Things,66732,tv_episode,3,6,cs,CZ,Czech,Kapitola šestá: E Pluribus Unum,"Doktor Alexej odhalí, co Rusové budovali, a Eleven uvidí, kde byl Billy. Dustin a Erica provedou odvážnou záchrannou akci."
Stranger Things,66732,tv_episode,3,6,it,IT,Italian,Capitolo sei: L'arma,Alexei svela quello che i russi hanno costruito e Undici vede dove è stato Billy. Dustin ed Erica organizzano una coraggiosa missione di salvataggio.
Stranger Things,66732,tv_episode,3,6,da,DK,Danish,Kap. 6: E Pluribus Unum,"Dr. Alexei afslører, hvad russerne har været i gang med at bygge, og Eleven ser, hvor Billy har været. Dustin og Erica planlægger en dristig redningsaktion."
Stranger Things,66732,tv_episode,3,6,hu,HU,Hungarian,Hatodik fejezet: Sokból egy,"Dr. Alekszej elárulja, mit építettek az oroszok. Tizenegy látja, hol járt Billy. Dustin és Erica merész mentőakcióba kezdenek."
Stranger Things,66732,tv_episode,3,6,uk,UA,Ukrainian,Глава 6. E Pluribus Unum,"Доктор Алєксєй розкриває інформацію про те, що саме будували росіяни, Одинадцять бачить місце, де був Біллі. Дастін і Еріка влаштовують відважний порятунок."
Stranger Things,66732,tv_episode,3,6,id,ID,Indonesian,Bab Enam: Senjata,Dr. Alexei mengungkap apa yang sejauh ini dibangun orang-orang Rusia. Eleven melihat di mana Billy berada selama ini. Dustin dan Erica melakukan penyelamatan nekat.
Stranger Things,66732,tv_episode,3,6,el,GR,Greek,Κεφάλαιο Έκτο: Ένωση,Ο Δρ Αλεξέι αποκαλύπτει τι κατασκευάζουν οι Ρώσοι και η Έντεκα βλέπει πού βρισκόταν ο Μπίλι. Ο Ντάστιν και η Έρικα οργανώνουν μια τολμηρή διάσωση.
Stranger Things,66732,tv_episode,3,6,he,IL,Hebrew,פרק 6: השלם גדול מסך חלקיו,"ד""ר אלכסיי מגלה מה הרוסים בנו ואילבן מצליחה לראות את המקום שבו בילי היה. דסטין ואריקה יוצאים למשימת הצלה מסוכנת."
Stranger Things,66732,tv_episode,3,6,zh,TW,Mandarin,第 6 章：合眾為一,艾利斯博士揭露了俄國人建造工程的目的。伊萊雯查出比利的下落。達斯汀與愛瑞卡策畫了一場大膽的救援行動。
Stranger Things,66732,tv_episode,3,6,lt,LT,Lithuanian,,
Stranger Things,66732,tv_episode,3,6,sk,SK,Slovak,Kapitola šiesta: E Pluribus Unum,"Doktor Alexei odhalí, čo Rusi budovali, a Eleven uvidí, kde bol Billy. Dustin a Erica vykonajú odvážnu záchrannú akciu."
Stranger Things,66732,tv_episode,3,6,tr,TR,Turkish,Çokluktan Birliğe,"Dr. Alexei, Rusların ne inşa ettiğini açıklarken Onbir, Billy'nin nerede olduğunu görür. Dustin ve Erica cesur bir kaçış planını hayata geçirir."
Stranger Things,66732,tv_episode,3,6,sr,RS,Serbian,,
Stranger Things,66732,tv_episode,3,6,es,MX,Spanish,Capítulo seis: E pluribus unum,El doctor Alexei revela lo que construyen los rusos y Once descubre dónde ha estado Billy. Dustin y Erica montan una operación de rescate muy audaz.
Stranger Things,66732,tv_episode,3,6,nl,NL,Dutch,Hoofdstuk 6: E Pluribus Unum,Dokter Alexei onthult wat de Russen hebben gebouwd en Elf ziet waar Billy is geweest. Dustin en Erica ondernemen een gedurfde reddingsactie.
Stranger Things,66732,tv_episode,3,6,pt,PT,Portuguese,Capítulo seis: E pluribus unum,O Dr. Alexei revela o que os russos estão a construir e Onze consegue ver onde Billy tem estado. Dustin e Erica levam a cabo um resgate arriscado.
Stranger Things,66732,tv_episode,3,6,hr,HR,Croatian,Šesto poglavlje: E Pluribus Unum,"Dr. Alexei otkriva što grade Rusi, a Jedanaest vidi gdje se nalazio Billy. Dustin i Erica organiziraju odvažnu akciju spašavanja."
Stranger Things,66732,tv_episode,3,6,ro,RO,Romanian,"Capitolul șase: Din mai mulți, unul","Dr. Alexei dezvăluie ce construiesc rușii, iar Unsprezece vede unde a fost Billy. Dustin și Erica pregătesc o misiune curajoasă de salvare."
Stranger Things,66732,tv_episode,3,6,fr,CA,French,Chapitre six : E Pluribus Unum,"Le docteur Alekseï révèle ce que les Russes ont construit, et Onze voit où Billy est allé. Dustin et Erica organisent un sauvetage risqué."
Stranger Things,66732,tv_episode,3,6,bg,BG,Bulgarian,Глава 6: От многото – единствен,
Stranger Things,66732,tv_episode,3,6,no,NO,Norwegian,Kapittel seks: E pluribus unum,"Dr. Alexei avslører hva russerne har bygget, og Elleve ser hvor Billy har vært. Dustin og Erica iverksetter en dristig redningsaksjon."
Stranger Things,66732,tv_episode,3,6,fi,FI,Finnish,Kuudes luku: E pluribus unum,"Tohtori Alexei paljastaa, mitä venäläiset ovat rakentaneet. Yksitoista näkee, missä Billy on ollut. Dustin ja Erica aloittavat uhkarohkean pelastustehtävän."
Stranger Things,66732,tv_episode,3,6,ko,KR,Korean,해변의 소년,"러시아인들의 열쇠는 무엇일까. 마인드 플레이어가 아이들을 덮치고, 스티브와 로빈은 러시아인들에게 붙잡힌다. 일레븐은 근원지를 찾아 빌리의 기억 속으로 들어간다."
Stranger Things,66732,tv_episode,3,6,fa,IR,Persian,,
Stranger Things,66732,tv_episode,3,6,ar,SA,Arabic,فصل 6: في عيد الاستقلال,"يكشف الدكتور ""أليكسي"" عمّا كان الرّوس يُشيّدونه، وترى ""إيليفن"" مكان ""بيلي""، وينفّذ ""داستن"" و""إريكا"" عملية إنقاذ جريئة."
Stranger Things,66732,tv_episode,3,6,vi,VN,Vietnamese,Tập sáu: Từ nhiều thành một,"Tiến sĩ Alexei tiết lộ về công trình mà người Nga xây dựng, và Eleven nhìn thấy nơi Billy từng ở. Dustin và Erica thực hiện một cuộc giải cứu táo bạo."
