titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_episode,4,4,ar,SA,Arabic,فصل 4: عزيزي بيلي,"يحدق الخطر بـ""ماكس"" ويوقعها تحت رحمة الوقت، ويتلقّى مريض في مصحّة ""بينهرست"" زائرتين. ومن جهة أخرى، يبذل ""هوبر"" جهدًا مضنيًا في ""روسيا""."
Stranger Things,66732,tv_episode,4,4,ar,AE,Arabic,فصل 4: عزيزي بيلي,"يحدق الخطر بـ""ماكس"" ويوقعها تحت رحمة الوقت، ويتلقّى مريض في مصحّة ""بينهرست"" زائرتين. ومن جهة أخرى، يبذل ""هوبر"" جهدًا مضنيًا في ""روسيا""."
Stranger Things,66732,tv_episode,4,4,bg,BG,Bulgarian,Глава четвърта: Уважаеми Били,
Stranger Things,66732,tv_episode,4,4,bs,BS,Bosnian,,
Stranger Things,66732,tv_episode,4,4,cs,CZ,Czech,Kapitola čtvrtá: Drahý Billy,"Max je ve smrtelném nebezpečí a dochází jí čas. Jeden z pacientů léčebny Pennhurst má návštěvu. Hopper se v Rusku činí, až se z něj kouří."
Stranger Things,66732,tv_episode,4,4,da,DK,Danish,Kap. 4: Kære Billy,"Max er i stor fare og er ved at komme i tidsnød. En patient på Pennhurst får gæster. Andetsteds, i Rusland, arbejder Hopper hårdt på sagen."
Stranger Things,66732,tv_episode,4,4,de,DE,German,Kapitel vier: Lieber Billy,Max befindet sich in großer Gefahr und ihr läuft die Zeit davon. Ein Patient der Nervenheilanstalt Pennhurst bekommt Besuch und Hopper ist in Russland schwer beschäftigt.
Stranger Things,66732,tv_episode,4,4,el,GR,Greek,Κεφάλαιο τέταρτο: Αγαπητέ Μπίλι,"Η Μαξ έχει ""νεκρομπελάδες"" και ο χρόνος τελειώνει. Ένας ασθενής του ασύλου Πένχερστ έχει επισκέψεις. Στη Ρωσία, ο Χόπερ προσπαθεί σκληρά να καταφέρει κάτι."
Stranger Things,66732,tv_episode,4,4,en,US,English,Chapter Four: Dear Billy,"Max is in grave danger... and running out of time. A patient at Pennhurst asylum has visitors. Elsewhere, in Russia, Hopper is hard at work."
Stranger Things,66732,tv_episode,4,4,es,ES,Spanish,Querido Billy,"Max corre un grave peligro... y se está quedando sin tiempo. Un paciente del psiquiátrico Pennhurst recibe una visita. En Rusia, Hopper sigue buscando la forma de huir."
Stranger Things,66732,tv_episode,4,4,es,MX,Spanish,Querido Billy,"Max corre un grave peligro... y se está quedando sin tiempo. Un paciente del psiquiátrico Pennhurst recibe una visita. En Rusia, Hopper sigue buscando la forma de huir."
Stranger Things,66732,tv_episode,4,4,eu,ES,Basque,,
Stranger Things,66732,tv_episode,4,4,fa,IR,Persian,,
Stranger Things,66732,tv_episode,4,4,fi,FI,Finnish,Neljäs luku: Rakas Billy,"Max on suuressa vaarassa, ja aika alkaa käydä vähiin. Pennhurstin mielisairaalan potilas saa vieraita. Hopper paiskii töitä Venäjällä."
