titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_season,2,en,US,English,,"Mark and his friends learn the dire consequences of trifling with the severance barrier, leading them further down a path of woe."
Severance,95396,tv_season,2,ru,RU,Russian,,"Во втором сезоне Марк и его друзья узнают о ужасных последствиях пустяков с барьером выходного пособия, которые ведут их дальше по пути горя."
Severance,95396,tv_season,2,pt,BR,Portuguese,,"Na segunda temporada, Mark e seus amigos descobrem as terríveis consequências de mexer com a barreira de separação, que os leva a um sofrimento ainda maior."
Severance,95396,tv_season,2,hu,HU,Hungarian,,"A második évadban Mark és barátai megtapasztalják, milyen súlyos következményekkel jár a különválási határ megsértése, ami egyre mélyebbre sodorja őket a szenvedés útján."
Severance,95396,tv_season,2,it,IT,Italian,,"Nella seconda stagione, Mark e le persone a lui vicine impareranno a loro spese le terribili conseguenze dell’aver scherzato con i limiti della scissione, finendo irrimediabilmente su un sentiero diretto verso la disgrazia."
Severance,95396,tv_season,2,es,ES,Spanish,,"El misterio de Lumon sigue desvelándose poco a poco mientras Mark, Helly, Irving y Dylan se enfrentan a los temores que les han dejado en vilo. La señora Cobel y Milchek también regresan para intentar restaurar el riguroso orden del mundo de Lumon."
Severance,95396,tv_season,2,ja,JP,Japanese,,
Severance,95396,tv_season,2,ko,KR,Korean,,
Severance,95396,tv_season,2,de,DE,German,,"In der zweiten Staffel erfahren Mark und seine Freunde, welche schrecklichen Folgen es hat, wenn man mit der Trennungsschranke leichtfertig umgeht, und das führt sie auf einen Pfad des Unheils."
Severance,95396,tv_season,2,el,GR,Greek,,
Severance,95396,tv_season,2,he,IL,Hebrew,,"בעונה השנייה, מארק וחבריו לומדים על ההשלכות החמורות של התעסקות עם מחסום הניתוק, מה שמוביל אותם עמוק יותר בנתיב של סבל וחושף אותם לסודות מאחורי לומין"
Severance,95396,tv_season,2,fr,FR,French,,Mark et son équipe apprennent à leurs dépens qu’on ne plaisante pas avec les frontières de la dissociation.
Severance,95396,tv_season,2,zh,CN,Mandarin,,在第2季中，马克和朋友们了解到，记忆切割会带来可怕的后果，这迫使他们在悲惨的道路上越走越远。
Severance,95396,tv_season,2,sv,SE,Swedish,,
Severance,95396,tv_season,2,es,MX,Spanish,,
Severance,95396,tv_season,2,pl,PL,Polish,,"W drugim sezonie Mark i jego przyjaciele dowiadują się o tragicznych konsekwencjach zerwania bariery, co prowadzi ich dalej na ścieżkę nieszczęścia."
Severance,95396,tv_season,2,zh,TW,Mandarin,第二季,在第二季的故事中，主角馬克和他的朋友們將為輕忽「切割手術」而付出慘痛代價。這條冒險之路將把他們引向更深的黑暗漩渦之中，究竟會遭遇什麼更黑暗的絕境令人不寒而慄！
Severance,95396,tv_season,2,cs,CZ,Czech,,"Ve druhé sezóně se Mark a jeho přátelé dozvídají strašlivé následky pohrávání si s předělovací bariérou, což je vede dále po cestě žalu."
Severance,95396,tv_season,2,tr,TR,Turkish,,
Severance,95396,tv_season,2,nl,NL,Dutch,,"In seizoen twee leren Mark en zijn vrienden de verschrikkelijke gevolgen kennen van het spelen met de ontslagvergoeding, waardoor ze verder op een pad van ellende terechtkomen."
Severance,95396,tv_season,2,th,TH,Thai,,
Severance,95396,tv_season,2,ar,SA,Arabic,,"يواصل الموظفون المفصولون في شركة ""لومون إندستريز"" استكشاف العواقب المترتبة على إجراء ""الشَّطْر"" الذي يفصل بين ذكريات العمل والحياة الشخصية. بعد الأحداث المثيرة في نهاية الموسم الأول، يجد ""مارك"" وزملاؤه أنفسهم مضطرين لمواجهة تداعيات اكتشافاتهم، مما يقودهم إلى سلسلة من التحديات التي تهدد بفصل حياتهم إلى الأبد."
Severance,95396,tv_season,2,fa,IR,Persian,فصل ۲,
Severance,95396,tv_season,2,uk,UA,Ukrainian,,"У другому сезоні Марк і його друзі дізнаються про жахливі наслідки легковажного ставлення до розривного бар'єру, що веде їх далі по шляху горя."
Severance,95396,tv_season,2,lt,LT,Lithuanian,,
Severance,95396,tv_season,2,zh,HK,Mandarin,,
Severance,95396,tv_season,2,da,DK,Danish,,
Severance,95396,tv_season,2,zh,SG,Mandarin,,
Severance,95396,tv_season,2,vi,VN,Vietnamese,,
Severance,95396,tv_season,2,sr,RS,Serbian,,
Severance,95396,tv_season,2,fi,FI,Finnish,,
Severance,95396,tv_season,2,bg,BG,Bulgarian,,"Във втория сезон Марк и приятелите му научават ужасните последици от това да се забавляват с бариерата за раздяла, което ги води по-нататък по пътя на мъката."
Severance,95396,tv_season,2,sl,SI,Slovenian,,
Severance,95396,tv_season,2,ar,AE,Arabic,,
Severance,95396,tv_season,2,fr,CA,French,,
Severance,95396,tv_season,2,hi,IN,Hindi,,
Severance,95396,tv_season,2,id,ID,Indonesian,,
Severance,95396,tv_season,2,no,NO,Norwegian,,
Severance,95396,tv_season,2,pt,PT,Portuguese,,
Severance,95396,tv_season,2,sk,SK,Slovak,,
Severance,95396,tv_season,2,et,EE,Estonian,,
Severance,95396,tv_season,2,ro,RO,Romanian,,"Mark și prietenii săi află consecințele cumplite ale jocului periculos cu bariera separării, care îi împinge și mai adânc pe un drum al suferinței."
Severance,95396,tv_season,2,hr,HR,Croatian,,
Severance,95396,tv_season,2,ka,GE,Georgian,,
